N,P,K,temperature,humidity,ph,rainfall,soil_type,season,region,soil_moisture,irrigation,sunlight,crop
129.6,46.0,62.5,26.36,92.49,5.0,2571.98,Peaty,Whole Year,South India,80.31,Rainfed,5.35,Tea
155.5,87.7,143.7,24.42,85.16,6.59,2354.73,Loamy,Whole Year,East India,74.82,Available,9.2,Banana
108.8,55.7,46.2,29.81,59.86,7.02,755.36,Black Soil,Kharif,West India,46.76,Rainfed,9.69,Cotton
141.3,70.0,151.4,32.32,82.46,6.32,2244.52,Loamy,Whole Year,South India,80.82,Available,6.26,Banana
68.4,41.3,33.8,20.75,59.07,7.5,373.53,Sandy,Rabi,North India,49.25,Rainfed,6.3,Mustard
57.7,46.2,111.3,34.15,89.23,6.53,2213.34,Sandy,Whole Year,South India,75.57,Available,8.5,Coconut
51.8,53.0,117.2,26.19,84.84,6.53,1864.8,Sandy,Whole Year,West India,73.11,Available,8.85,Coconut
140.1,82.4,61.1,31.55,78.04,6.73,1977.71,Black Soil,Whole Year,North India,65.47,Available,8.25,Sugarcane
103.8,54.2,46.8,28.9,83.79,6.29,2123.12,Clay,Kharif,South India,84.27,Available,6.57,Rice
94.2,45.3,83.2,33.21,63.61,6.57,1049.71,Loamy,Whole Year,North India,61.7,Rainfed,9.78,Mango
153.9,77.8,151.4,28.82,75.0,6.27,2252.28,Loamy,Whole Year,West India,74.73,Drip Irrigation,8.27,Banana
38.6,70.5,47.1,19.23,58.44,6.18,502.34,Black Soil,Rabi,North India,42.28,Rainfed,8.66,Chickpea
140.9,50.3,43.1,16.18,52.87,7.28,808.21,Loamy,Rabi,North India,58.21,Canal Irrigation,6.96,Wheat
25.8,50.8,34.1,20.36,61.42,7.1,524.22,Loamy,Rabi,North India,36.02,Rainfed,6.87,Chickpea
152.0,67.5,68.4,30.33,84.55,7.44,1763.86,Loamy,Whole Year,North India,69.32,Available,8.17,Sugarcane
45.6,35.5,38.8,32.72,23.02,7.36,504.04,Sandy,Kharif,West India,37.4,Rainfed,10.89,Millet
31.4,33.8,36.6,29.13,44.89,7.3,720.45,Black Soil,Kharif,Central India,27.8,Rainfed,9.49,Sorghum
126.4,102.4,172.1,28.11,86.34,6.98,2491.58,Clay,Whole Year,South India,80.24,Drip Irrigation,11.0,Banana
36.6,53.3,31.9,20.16,45.18,7.18,530.55,Loamy,Rabi,North India,41.24,Available,6.55,Chickpea
63.1,38.9,33.7,15.18,41.91,7.43,481.96,Loamy,Rabi,North India,47.77,Rainfed,7.16,Mustard
79.5,41.8,38.3,7.65,58.05,6.73,327.45,Sandy,Rabi,North India,48.51,Available,8.67,Mustard
128.7,36.9,63.3,23.06,85.97,4.61,2266.68,Peaty,Whole Year,East India,76.22,Rainfed,6.81,Tea
34.9,67.0,23.9,23.41,59.05,6.95,496.3,Loamy,Rabi,North India,34.46,Rainfed,9.08,Chickpea
158.3,80.8,67.9,27.83,83.52,7.16,1821.78,Loamy,Whole Year,West India,61.86,Canal Irrigation,8.79,Sugarcane
28.9,78.6,50.5,24.85,69.71,6.87,1001.42,Black Soil,Kharif,Central India,73.28,Rainfed,7.08,Soybean
95.5,48.7,35.4,29.05,57.03,6.85,937.56,Loamy,Kharif,South India,67.42,Rainfed,9.49,Maize
100.5,53.5,42.3,22.57,68.07,5.83,1183.07,Sandy,Kharif,North India,58.13,Available,9.14,Maize
52.7,36.0,116.3,24.84,80.14,6.86,1745.34,Sandy,Whole Year,South India,61.29,Available,9.87,Coconut
117.1,63.7,64.0,36.12,59.4,7.38,753.53,Black Soil,Kharif,West India,53.95,Rainfed,9.39,Cotton
37.7,38.5,48.8,25.89,78.5,6.82,772.44,Sandy,Kharif,West India,47.07,Rainfed,8.61,Groundnut
106.7,68.1,56.4,21.2,50.97,7.27,791.55,Black Soil,Kharif,West India,62.29,Available,7.34,Cotton
152.0,70.6,80.6,26.18,80.3,6.55,1713.63,Clay,Whole Year,West India,69.36,Available,7.72,Sugarcane
65.8,45.1,41.7,15.51,54.33,7.37,593.55,Loamy,Rabi,North India,36.69,Rainfed,7.63,Barley
116.2,41.1,51.4,29.12,59.28,7.08,845.09,Black Soil,Kharif,Central India,53.79,Available,9.96,Cotton
30.5,77.0,61.3,21.38,71.51,6.57,781.69,Black Soil,Kharif,Central India,60.6,Available,6.51,Soybean
100.1,71.2,101.4,23.06,81.93,5.78,1863.17,Peaty,Whole Year,South India,73.69,Rainfed,7.06,Coffee
98.5,49.5,94.6,33.49,72.35,6.18,1127.84,Red Soil,Whole Year,South India,40.63,Rainfed,9.08,Mango
120.0,96.1,160.6,28.26,81.25,7.15,2569.94,Clay,Whole Year,West India,79.19,Drip Irrigation,7.45,Banana
106.7,34.2,98.5,18.04,65.54,6.43,692.39,Sandy,Rabi,South India,52.4,Drip Irrigation,9.17,Tomato
106.9,55.5,58.5,22.04,83.18,5.02,2047.02,Loamy,Whole Year,East India,79.28,Available,5.76,Tea
17.7,72.6,24.6,22.71,62.17,7.07,601.37,Black Soil,Rabi,Central India,33.93,Rainfed,9.66,Chickpea
154.7,70.0,77.9,35.95,86.16,6.43,2167.77,Clay,Whole Year,North India,69.31,Canal Irrigation,7.6,Sugarcane
121.2,87.9,114.8,34.28,92.56,6.99,2164.0,Loamy,Whole Year,West India,76.03,Drip Irrigation,7.63,Banana
132.7,63.1,77.8,20.33,70.1,6.64,738.04,Loamy,Kharif,South India,67.79,Drip Irrigation,7.58,Tomato
55.8,30.5,124.2,28.63,81.65,6.94,1686.56,Sandy,Whole Year,South India,60.18,Rainfed,10.01,Coconut
133.1,55.6,49.3,24.1,65.43,7.31,592.65,Black Soil,Kharif,Central India,58.18,Drip Irrigation,8.19,Cotton
131.0,57.7,71.9,31.97,59.12,6.95,2085.52,Loamy,Whole Year,North India,80.1,Canal Irrigation,9.39,Sugarcane
58.8,40.9,38.6,15.93,54.89,6.63,612.43,Loamy,Rabi,North India,45.0,Available,7.86,Barley
125.4,42.2,69.9,32.28,74.52,7.68,781.93,Black Soil,Kharif,West India,54.72,Available,9.0,Cotton
128.1,58.9,56.3,23.74,56.56,7.26,738.61,Silty,Rabi,North India,48.21,Available,10.57,Wheat
48.2,48.0,82.3,29.4,83.64,6.63,1734.49,Sandy,Whole Year,South India,78.27,Rainfed,8.17,Coconut
83.3,40.6,39.1,22.55,33.03,7.0,591.31,Sandy,Rabi,North India,38.42,Available,8.79,Barley
120.3,38.6,47.5,30.79,63.72,7.5,757.24,Loamy,Kharif,Central India,60.72,Available,10.81,Cotton
126.9,59.0,68.3,17.43,93.68,4.93,2554.93,Peaty,Whole Year,Himalayan Region,87.96,Rainfed,6.73,Tea
101.3,52.6,78.5,26.21,43.49,6.24,1457.91,Loamy,Whole Year,North India,53.41,Available,10.64,Mango
35.2,70.1,53.4,20.05,46.48,7.59,336.37,Loamy,Rabi,Central India,43.53,Available,8.23,Chickpea
133.2,86.8,79.9,28.0,66.29,6.88,1866.87,Loamy,Whole Year,West India,67.93,Available,7.99,Sugarcane
108.8,60.2,39.3,25.79,58.79,7.38,913.53,Black Soil,Kharif,West India,54.62,Drip Irrigation,8.09,Cotton
160.9,63.1,69.3,27.67,61.2,7.02,1810.76,Clay,Whole Year,North India,84.96,Available,7.83,Sugarcane
107.4,32.7,65.3,19.51,87.0,5.16,2317.53,Peaty,Whole Year,Himalayan Region,75.51,Rainfed,6.94,Tea
21.9,65.8,53.7,28.79,71.19,7.08,1024.97,Black Soil,Kharif,Central India,64.24,Rainfed,8.57,Soybean
75.1,59.2,30.1,17.97,75.5,6.9,878.23,Sandy,Kharif,Central India,77.12,Available,8.77,Maize
55.0,25.6,121.8,27.51,83.69,6.24,2102.46,Sandy,Whole Year,South India,67.47,Rainfed,10.3,Coconut
115.2,67.8,94.3,28.41,74.01,7.09,2294.89,Black Soil,Whole Year,South India,89.85,Available,7.5,Sugarcane
71.6,42.1,57.9,30.4,36.01,6.89,560.46,Loamy,Kharif,South India,36.04,Rainfed,9.38,Sorghum
29.9,71.5,31.2,24.85,74.01,6.83,795.04,Black Soil,Kharif,Central India,55.62,Rainfed,7.43,Soybean
78.8,66.1,109.4,32.39,68.05,7.0,1130.14,Loamy,Whole Year,North India,48.92,Available,9.4,Mango
116.7,45.6,42.4,17.91,87.39,4.79,2444.79,Peaty,Whole Year,South India,80.19,Available,5.79,Tea
123.5,49.6,84.9,31.47,61.91,7.34,1877.75,Clay,Whole Year,West India,58.51,Canal Irrigation,10.11,Sugarcane
62.4,41.0,152.9,29.75,80.3,6.75,1906.23,Sandy,Whole Year,West India,66.84,Rainfed,8.3,Coconut
91.8,59.1,80.3,18.02,89.7,4.98,2254.59,Peaty,Whole Year,South India,80.31,Rainfed,4.16,Tea
66.7,28.4,8.9,29.84,45.49,6.61,615.05,Sandy,Kharif,West India,29.64,Rainfed,8.4,Millet
114.9,38.8,64.8,19.76,88.34,4.62,2413.27,Loamy,Whole Year,East India,74.93,Rainfed,6.18,Tea
34.5,59.8,47.7,29.72,44.54,7.01,828.73,Sandy,Zaid,South India,53.23,Available,6.98,Groundnut
58.7,37.3,47.4,24.01,42.21,6.7,625.43,Sandy,Rabi,South India,39.23,Rainfed,9.61,Sorghum
19.6,36.6,31.7,17.47,53.71,6.42,569.29,Loamy,Rabi,East India,45.28,Available,7.77,Lentil
116.8,57.9,26.1,22.81,49.6,6.28,716.58,Clay,Rabi,North India,52.18,Available,7.21,Wheat
99.0,45.7,39.1,30.15,46.19,7.32,968.94,Red Soil,Kharif,Central India,54.24,Available,8.28,Maize
54.7,29.0,16.5,27.67,37.1,6.57,381.46,Sandy,Kharif,West India,45.56,Rainfed,9.02,Millet
49.6,19.7,29.1,28.46,50.06,5.81,618.53,Sandy,Kharif,Central India,35.17,Rainfed,10.33,Millet
122.4,62.7,47.5,13.89,53.53,6.09,560.86,Loamy,Rabi,Central India,47.06,Available,7.51,Wheat
55.3,31.0,44.8,29.33,60.96,7.14,609.44,Black Soil,Kharif,West India,40.78,Rainfed,8.95,Sorghum
131.0,67.9,68.3,27.38,83.95,6.64,2295.46,Loamy,Whole Year,West India,70.66,Canal Irrigation,8.55,Sugarcane
162.3,66.4,84.5,31.09,74.46,6.93,2220.07,Loamy,Whole Year,South India,74.18,Available,8.18,Sugarcane
119.5,45.1,49.3,15.35,66.13,6.77,596.87,Loamy,Rabi,North India,54.35,Canal Irrigation,8.49,Wheat
117.8,56.0,23.4,35.35,52.98,6.82,718.3,Loamy,Kharif,Central India,62.0,Drip Irrigation,9.07,Cotton
143.0,30.0,61.9,28.6,74.08,7.41,824.9,Black Soil,Kharif,Central India,65.25,Available,8.65,Cotton
98.0,94.6,104.0,22.12,67.63,6.18,390.34,Sandy,Rabi,North India,74.74,Available,7.7,Potato
98.0,47.4,59.0,21.11,83.55,4.9,2950.46,Peaty,Whole Year,East India,79.14,Rainfed,5.74,Tea
103.6,97.8,135.2,20.12,67.41,6.28,526.6,Loamy,Rabi,East India,70.26,Drip Irrigation,5.96,Potato
82.4,63.0,85.2,31.74,54.91,6.8,1224.21,Red Soil,Whole Year,South India,58.98,Rainfed,9.55,Mango
103.2,96.7,136.8,19.71,74.36,6.46,607.28,Loamy,Rabi,East India,60.2,Available,6.69,Potato
118.7,50.6,60.8,23.39,68.15,6.8,725.78,Black Soil,Kharif,Central India,61.28,Available,7.42,Cotton
50.9,46.3,111.8,25.33,88.23,5.83,1818.43,Loamy,Whole Year,South India,67.77,Available,9.29,Coconut
86.9,61.8,21.2,23.87,90.51,6.38,2120.32,Loamy,Kharif,East India,93.51,Canal Irrigation,6.71,Rice
95.3,61.0,58.9,35.22,55.12,5.51,1112.14,Red Soil,Whole Year,South India,63.29,Rainfed,9.0,Mango
99.7,79.6,145.3,21.36,71.66,6.2,539.86,Loamy,Rabi,East India,73.5,Available,7.6,Potato
102.8,54.3,51.8,20.35,89.56,4.84,2298.36,Peaty,Whole Year,South India,83.48,Rainfed,4.59,Tea
106.1,71.3,104.6,24.96,84.01,5.73,698.05,Sandy,Kharif,West India,59.38,Available,8.77,Tomato
82.1,54.8,31.7,26.02,70.29,5.91,2062.1,Clay,Kharif,East India,77.22,Canal Irrigation,7.32,Rice
97.1,46.5,99.0,24.34,76.34,6.44,1899.0,Loamy,Whole Year,South India,64.73,Rainfed,5.55,Coffee
83.8,51.2,44.1,21.19,66.66,7.17,809.42,Red Soil,Kharif,North India,54.29,Rainfed,6.37,Maize
57.9,26.3,48.6,35.81,39.19,6.24,536.35,Sandy,Kharif,Central India,39.94,Rainfed,10.14,Millet
52.8,29.4,47.8,26.41,58.23,6.9,717.54,Black Soil,Kharif,Central India,30.76,Available,11.55,Sorghum
25.5,43.2,40.5,21.13,38.49,6.34,411.12,Silty,Rabi,East India,44.81,Rainfed,7.59,Lentil
45.5,36.7,35.0,33.52,48.56,7.23,679.67,Sandy,Kharif,Central India,41.84,Rainfed,9.69,Sorghum
144.2,84.4,144.5,33.53,89.95,6.77,1617.63,Loamy,Whole Year,West India,75.46,Drip Irrigation,8.36,Banana
68.9,40.7,19.7,36.48,52.49,7.16,376.12,Sandy,Kharif,Central India,36.06,Rainfed,10.42,Millet
145.5,90.1,139.1,31.21,85.03,6.43,2167.19,Loamy,Whole Year,South India,81.03,Available,8.85,Banana
125.7,56.9,20.3,24.01,44.24,7.17,619.91,Loamy,Rabi,North India,41.01,Available,6.95,Wheat
125.6,43.2,49.9,11.96,62.29,6.37,589.35,Clay,Rabi,North India,59.21,Available,9.29,Wheat
104.7,49.1,73.1,23.03,84.92,5.8,2674.9,Peaty,Whole Year,East India,79.61,Rainfed,5.66,Tea
112.3,51.5,71.4,23.32,79.02,4.74,2431.8,Peaty,Whole Year,Himalayan Region,71.51,Rainfed,5.03,Tea
89.1,38.0,51.2,23.31,66.43,7.97,976.23,Sandy,Kharif,North India,62.64,Available,8.83,Maize
73.5,48.9,38.0,20.29,48.0,6.44,910.77,Sandy,Kharif,Central India,60.36,Rainfed,8.47,Maize
73.3,27.3,140.7,32.42,75.38,7.16,1457.35,Loamy,Whole Year,South India,78.82,Rainfed,8.66,Coconut
93.8,30.8,40.1,25.63,79.25,6.47,1780.66,Loamy,Kharif,North India,73.62,Available,7.97,Rice
92.0,91.4,119.8,17.25,52.34,6.4,581.83,Loamy,Rabi,North India,68.37,Drip Irrigation,4.32,Potato
150.6,93.3,156.6,31.67,71.92,6.12,2577.07,Loamy,Whole Year,West India,71.08,Available,8.64,Banana
12.7,60.2,21.3,24.92,50.43,6.81,579.64,Loamy,Rabi,North India,42.88,Rainfed,7.19,Chickpea
68.5,42.8,34.8,26.4,50.77,7.23,614.67,Black Soil,Rabi,Central India,45.2,Rainfed,9.38,Sorghum
90.6,78.5,93.7,20.05,77.43,7.25,1093.46,Red Soil,Whole Year,South India,60.59,Drip Irrigation,9.12,Tomato
102.1,61.8,58.2,21.49,87.36,4.88,2090.5,Loamy,Whole Year,East India,86.58,Rainfed,5.71,Tea
120.5,54.2,56.8,27.3,71.37,6.99,1125.64,Black Soil,Kharif,South India,60.61,Available,9.35,Cotton
79.6,37.9,30.8,14.15,50.48,6.98,687.92,Loamy,Rabi,North India,37.08,Available,6.52,Barley
107.9,47.9,51.4,18.88,56.36,6.83,911.6,Silty,Rabi,North India,57.58,Canal Irrigation,9.43,Wheat
93.8,98.7,120.3,23.41,65.01,5.15,563.98,Loamy,Rabi,North India,66.81,Drip Irrigation,6.02,Potato
38.2,74.8,36.0,25.9,65.51,6.63,966.64,Red Soil,Kharif,West India,39.51,Rainfed,8.89,Groundnut
109.7,49.5,108.1,19.72,70.8,5.68,1822.16,Peaty,Whole Year,South India,56.13,Rainfed,6.51,Coffee
123.5,47.6,68.4,21.82,92.78,5.1,2414.54,Peaty,Whole Year,East India,79.06,Rainfed,6.31,Tea
101.6,35.2,42.0,18.3,65.58,6.44,711.09,Silty,Rabi,Central India,55.79,Available,7.7,Wheat
51.1,33.8,32.7,33.82,42.68,6.72,440.76,Sandy,Kharif,West India,26.76,Rainfed,9.18,Millet
22.6,58.0,30.9,15.75,58.54,7.07,521.01,Silty,Rabi,East India,49.18,Rainfed,6.39,Lentil
27.5,36.8,60.8,21.42,54.36,5.87,659.02,Sandy,Kharif,West India,45.56,Rainfed,9.51,Groundnut
60.7,48.5,141.1,32.63,79.05,7.17,1714.72,Sandy,Whole Year,West India,77.09,Available,10.21,Coconut
61.4,56.8,25.5,17.29,60.3,6.8,449.87,Loamy,Rabi,North India,46.24,Available,7.51,Mustard
71.0,46.1,37.1,17.21,50.63,7.96,489.28,Loamy,Rabi,North India,47.65,Rainfed,9.25,Barley
12.6,88.8,56.1,25.38,69.37,6.86,573.35,Black Soil,Kharif,Central India,68.0,Available,6.45,Soybean
47.4,27.7,32.1,23.65,39.9,6.76,431.63,Sandy,Kharif,West India,39.56,Rainfed,9.03,Millet
77.4,57.6,38.6,26.72,49.2,7.34,473.04,Loamy,Rabi,West India,31.61,Available,8.6,Sorghum
75.0,26.9,30.6,26.5,56.25,6.59,404.38,Loamy,Kharif,West India,29.11,Rainfed,9.13,Millet
18.6,57.6,38.9,24.5,64.06,5.99,665.54,Sandy,Kharif,South India,50.88,Available,8.64,Groundnut
82.0,17.5,35.4,16.61,62.48,7.25,672.94,Loamy,Rabi,North India,52.48,Available,7.55,Barley
149.4,50.8,59.8,30.3,69.55,6.98,1898.18,Loamy,Whole Year,North India,79.97,Available,7.48,Sugarcane
86.8,31.5,27.5,28.76,32.09,6.73,682.5,Loamy,Rabi,Central India,34.88,Available,9.25,Sorghum
156.5,93.7,131.3,31.86,83.83,6.31,1707.62,Loamy,Whole Year,South India,79.21,Available,7.2,Banana
25.9,52.4,35.3,18.65,38.44,6.15,454.27,Loamy,Rabi,East India,54.45,Available,8.37,Lentil
111.0,78.7,69.5,14.79,61.83,6.65,853.42,Clay,Rabi,Central India,50.11,Canal Irrigation,7.35,Wheat
61.9,29.3,33.2,14.7,48.02,6.89,484.22,Loamy,Rabi,North India,44.32,Rainfed,8.62,Barley
38.8,64.6,38.3,21.02,63.0,5.92,919.89,Black Soil,Kharif,Central India,70.55,Rainfed,8.4,Soybean
97.1,54.3,47.3,23.12,81.27,5.66,2820.47,Clay,Kharif,South India,75.45,Available,7.61,Rice
92.9,102.3,104.4,23.17,58.02,5.1,721.35,Loamy,Rabi,North India,74.64,Available,6.08,Potato
87.0,94.1,129.3,17.62,68.98,5.9,643.61,Sandy,Rabi,North India,68.97,Available,5.31,Potato
26.8,45.1,24.1,26.43,63.66,6.89,823.7,Sandy,Kharif,South India,32.97,Rainfed,7.8,Groundnut
88.6,44.9,47.4,36.53,73.17,7.53,648.37,Black Soil,Kharif,Central India,67.46,Available,10.08,Cotton
85.9,42.6,32.1,17.73,47.05,7.21,465.8,Sandy,Rabi,North India,42.44,Available,9.2,Barley
36.6,63.8,56.3,24.25,85.48,6.39,916.14,Black Soil,Kharif,Central India,56.8,Rainfed,7.71,Soybean
40.7,80.1,57.9,28.58,69.29,7.07,788.81,Black Soil,Kharif,West India,55.56,Available,8.01,Soybean
27.1,51.4,23.9,19.37,54.52,6.85,424.39,Loamy,Rabi,North India,40.75,Rainfed,6.98,Lentil
98.2,79.0,125.9,19.42,55.88,5.23,490.22,Loamy,Rabi,North India,66.4,Drip Irrigation,8.27,Potato
120.3,66.2,32.6,19.88,52.67,7.08,798.2,Silty,Rabi,Central India,39.57,Available,10.2,Wheat
57.5,32.5,41.9,28.9,51.36,6.51,660.29,Loamy,Kharif,South India,43.35,Rainfed,10.28,Sorghum
150.3,64.6,73.7,23.73,71.26,6.37,1730.89,Black Soil,Whole Year,North India,63.35,Available,7.5,Sugarcane
107.5,75.2,114.5,23.77,76.01,6.39,557.17,Loamy,Rabi,East India,70.78,Available,6.89,Potato
134.4,74.0,52.9,30.43,43.08,6.7,750.34,Black Soil,Kharif,Central India,47.31,Rainfed,9.75,Cotton
88.8,111.7,114.6,16.58,63.71,6.36,666.85,Loamy,Rabi,East India,60.9,Available,5.55,Potato
64.8,56.9,33.6,14.07,51.64,7.16,490.6,Sandy,Rabi,North India,41.29,Available,5.35,Mustard
57.0,82.2,32.9,21.45,69.74,6.2,1165.7,Black Soil,Kharif,Central India,59.3,Available,7.43,Soybean
86.0,79.9,131.6,20.53,68.44,5.61,415.82,Sandy,Rabi,East India,63.47,Available,9.91,Potato
129.8,61.1,53.8,25.73,47.82,7.96,1159.63,Black Soil,Kharif,South India,64.65,Drip Irrigation,9.32,Cotton
85.3,57.3,41.5,14.62,52.89,6.41,304.36,Loamy,Rabi,West India,51.2,Available,7.28,Mustard
112.8,104.8,143.2,11.62,55.57,5.63,773.04,Loamy,Rabi,North India,59.65,Available,6.32,Potato
144.2,61.7,71.0,31.98,75.07,7.48,2190.38,Loamy,Whole Year,West India,88.2,Available,8.73,Sugarcane
98.5,66.7,87.5,31.09,68.25,6.79,1215.66,Red Soil,Whole Year,North India,49.45,Available,9.52,Mango
81.2,32.5,34.4,11.3,54.47,7.42,456.57,Sandy,Rabi,Himalayan Region,48.79,Rainfed,7.44,Barley
123.1,48.4,42.8,20.9,73.51,4.67,2570.93,Loamy,Whole Year,South India,82.52,Rainfed,6.78,Tea
19.3,61.2,29.2,18.43,48.58,7.27,336.17,Loamy,Rabi,Central India,36.69,Rainfed,7.52,Chickpea
72.9,43.2,39.7,33.56,46.61,7.34,507.51,Black Soil,Rabi,South India,39.65,Rainfed,9.45,Sorghum
